ra,dec,distance,temperature,apparent_magnitude,common_name,notes
0.0,0.0,0.0,5772,-26.74,Sun,
101.2871553,-16.71611586,2.64,9940,-1.47,Sirius_A,
101.287154,-16.716117,2.64,25000,8.44,Sirius_B,Obscured from Gaia by Sirius_A
