ra,dec,distance,apparent_magnitude,undimmed_magnitude,apparent_temperature,unreddened_temperature,common_name,notes
257.59452871,-15.72490664,27.1,2.43,2.43,8000,8000,Eta Ophiuchi,
178.45769717,53.69475972,25.5,2.44,2.44,9355,9355,Gamma Ursae Majoris,
111.0237595,-29.3031055,600,2.45,2.45,15000,15000,Eta Canis Majoris,
140.52840671,-55.01066714,175,2.46,2.46,12000,12000,Kappa Velorum,
14.17708783,60.71674956,168,2.47,2.47,25000,25000,Gamma Cassiopeiae,
346.19022271,15.20526714,40.9,2.48,2.48,10100,10100,Alpha Pegasi,
311.55284317,33.97025694,22.29,2.48,2.48,4710,4710,Epsilon Cygni,
45.56988779,4.08973878,76,2.53,2.53,3795,3795,Alpha Ceti,
208.88494021,-47.2883745,117,2.55,2.55,23561,23561,Zeta Centauri,
168.52708925,20.52371814,58.4,2.56,2.56,8296,8296,Delta Leonis,
183.95154504,-17.54193044,47.1,2.59,2.59,12000,12000,Gamma Corvi,
285.65304267,-29.88006331,88,2.59,2.59,8799,8799,Zeta Sagittarii,
229.25172425,-9.38291442,185,2.61,2.61,12300,12300,Beta Librae,
241.35929992,-19.80545278,120,2.62,2.62,28000,28000,Beta Scorpii A,
89.93029217,37.21258464,166,2.65,2.65,10400,10400,Theta Aurigae,
28.66004579,20.80803147,44.7,2.66,2.66,9000,9000,Beta Arietis,
224.63302233,-43.13396386,383,2.68,2.68,24090,24090,Beta Lupi,
208.67116217,18.39772072,37.2,2.68,2.68,6100,6100,Eta Bootis,
189.29590788,-69.13556478,315,2.69,2.69,21400,21400,Alpha Muscae,
262.690988,-37.29581347,177,2.7,2.7,22831,22831,Upsilon Scorpii,
200.14923904,-36.71229019,58.8,2.73,2.73,8600,8600,Iota Centauri,
222.71963788,-16.04177653,23.2,2.74,2.74,8128,8128,Alpha Librae a2,
233.78520146,-41.16675686,129,2.77,2.77,20900,20900,Gamma Lupi,
247.55499813,21.48961133,139,2.81,2.81,4887,4887,Beta Herculis,
250.32150433,31.60271869,10.72,2.81,2.81,5820,5820,Zeta Herculis,
248.97063688,-28.21601708,150,2.82,2.82,31440,31440,Tau Scorpii,
95.74011192,22.51358275,71,2.86,2.86,3460,3460,Mu Geminorum,
56.87115417,24.10513611,136,2.87,2.87,12258,12258,Alcyone,
245.29714879,-25.59279208,174,2.88,2.88,27700,27700,Sigma Scorpii A,
84.41118925,21.14254411,140,2.88,2.88,15500,15500,Zeta Tauri,
262.96038138,-49.876145,82,2.9,2.9,18044,18044,Alpha Arae,
29.69247779,-61.56985967,22,2.9,2.9,7087,7087,Alpha Hydri,
111.78767392,8.28931578,160,2.9,2.9,11772,11772,Beta Canis Minoris,
113.65041667,31.88849167,15.6,2.97,2.97,8842,8842,Castor Ba,
258.6618875,14.39027778,110,3.35,3.35,3155,3155,Alpha Herculis A,
190.415181,-1.44937281,11.68,3.56,3.56,6757,6757,Gamma Virginis,one of this binary pair is missing
154.99312733,19.84148522,39.9,3.64,3.64,4980,4980,Gamma Leonis B,Obscured by Gamma Leonis A
125.62848025,-59.50948419,190,4.121,4.121,20417,20417,Epsilon Carinae B,Obscured by Epsilon Carinae A
2.09691617,29.09043111,29.7,4.21,4.21,8500,8500,Alpha Andromedae B,Obscured by Alpha Andromedae A
258.66325417,14.38999444,110,5.32,5.32,4900,4900,Alpha Herculis Ba,Obscured by Alpha Herculis A
131.17584583,-54.7085,24.7,5.54,5.54,6600,6600,Delta Velorum B,Obscured by Delta Velorum A
101.2875,-16.715,2.64,8.44,8.44,25000,25000,Sirius B,Obscured by Sirius A
263.40216667,-37.10382222,180,14.9,14.9,25000,25000,Lambda Scorpii B,Obscured by Lambda Scorpii A
